species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	77.21088435374149	8666	0.8098853487946109	21.96658216014848
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	65	0.26617526617526616	7.2194920702549705
OTU-02547	Corynebacterium sp.	669408	300	81.33333333333333	6070	0.2266928390458435	6.1486071842505865
OTU-10107	Lactobacillus iners	449724	299	65.21739130434783	3862	0.21468723039019488	5.8229781439062895
OTU-20779	Haemophilus influenzae	87726	104	39.42307692307692	692	0.1972049335430773	5.348804471531704
OTU-02557	Corynebacterium sp.	423588	300	49.0	3005	0.17735393826076282	4.810384410619766
OTU-02443	Rothia dentocariosa	515946	296	54.054054054054056	3484	0.16881611641528377	4.578812416736235
OTU-10590	Streptococcus salivarius	11766	13	23.076923076923077	76	0.16148223695393507	4.379895044073408
OTU-14187	Veillonella parvula	3204	4	25.0	20	0.1560549313358302	4.232689819351445
OTU-10434	Streptococcus mitis	6675	8	50.0	35	0.13108614232209737	3.5554594482552138
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	5	0.10495382031905962	2.846670483039889
OTU-10109	Lactobacillus jensenii	140880	179	19.553072625698324	569	0.10097245883021011	2.738683711351489
OTU-05035	Prevotella histicola	613761	300	45.333333333333336	2103	0.08566037920297966	2.323373006354906
OTU-12099	Lachnospiraceae sp.	4809	6	33.333333333333336	16	0.08317737575379497	2.256026314194557
OTU-10006	Dolosigranulum pigrum	549030	300	32.333333333333336	1743	0.07936724769138298	2.152683919807218
OTU-13420	Subdoligranulum sp.	153624	163	19.01840490797546	463	0.07534630005728271	2.0436234500782886
OTU-05050	Prevotella pallens	409326	300	25.666666666666668	1189	0.07261937917454547	1.969660966741572
OTU-05704	Parabacteroides distasonis	353586	283	26.501766784452297	1019	0.07204753581872586	1.9541508157343432
OTU-10515	Streptococcus oralis	3027	6	16.666666666666668	8	0.06607201850016518	1.7920764031981542
OTU-05577	Alistipes putredinis	143196	138	17.391304347826086	376	0.06564429173999274	1.7804751376197532
OTU-15737	TM7x HGM15737	238899	198	35.35353535353536	576	0.06027651852875064	1.634884614915167
OTU-14182	Veillonella atypica	76371	94	18.085106382978722	170	0.055649395713032436	1.50938280944622
OTU-01664	Actinomyces oris	9714	12	25.0	14	0.03603047148445543	0.9772572294463067
OTU-08937	Campylobacter concisus	84822	65	15.384615384615385	105	0.030947159934922544	0.8393821821144357
OTU-02442	Rothia aeria	532503	299	21.070234113712374	656	0.030797948556158368	0.8353351104940754
OTU-01650	Actinomyces graevenitzii	607980	300	18.666666666666668	695	0.02857824270535215	0.7751298592005832
OTU-02517	Corynebacterium sp.	678519	299	20.401337792642142	774	0.028517992863869693	0.7734956981492318
OTU-05441	Bacteroidetes oral	624663	300	15.0	531	0.021251458786577724	0.5764049394808304
OTU-10395	Streptococcus pseudopneumoniae	9888	12	16.666666666666668	8	0.020226537216828478	0.5486059134790465
OTU-04682	Bacteroides caccae	4266	5	20.0	3	0.017580872011251757	0.4768473340788337
OTU-10506	Streptococcus pneumoniae	16665	13	15.384615384615385	9	0.013501350135013501	0.3661981507075256
OTU-19162	Lautropia mirabilis	698274	297	17.171717171717173	357	0.01278151556552299	0.34667402271093617
OTU-10407	Streptococcus mitis	9450	19	15.789473684210526	4	0.010582010582010581	0.28701668108364087
OTU-10448	Streptococcus mitis	5127	5	20.0	1	0.004876145894285157	0.13225607744491935
