species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	78.57142857142857	12980	1.2130523687230614	21.946473429212332
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	90	0.36855036855036855	6.66779199255135
OTU-02547	Corynebacterium sp.	669408	300	83.33333333333333	9033	0.3373503155026531	6.103322433893717
OTU-10107	Lactobacillus iners	449724	299	67.55852842809365	5737	0.31891782515498396	5.769842882573796
OTU-20779	Haemophilus influenzae	87726	104	42.30769230769231	994	0.2832683582974261	5.12487478611926
OTU-02557	Corynebacterium sp.	423588	300	50.666666666666664	4566	0.2694835547749228	4.8754809165437925
OTU-02443	Rothia dentocariosa	515946	296	58.445945945945944	5224	0.2531272652564416	4.579563870772948
OTU-10434	Streptococcus mitis	6675	8	50.0	61	0.22846441947565543	4.1333650886160385
OTU-10590	Streptococcus salivarius	11766	13	23.076923076923077	98	0.20822709501954784	3.7672325827936866
OTU-14187	Veillonella parvula	3204	4	25.0	25	0.19506866416978777	3.529171011454951
OTU-10515	Streptococcus oralis	3027	6	33.333333333333336	19	0.1569210439378923	2.839006468362492
OTU-10109	Lactobacillus jensenii	140880	179	20.11173184357542	838	0.14870812038614423	2.6904187295706965
OTU-02444	Rothia mucilaginosa	1191	3	33.333333333333336	7	0.14693534844668346	2.6583458419785604
OTU-05035	Prevotella histicola	613761	300	48.333333333333336	3117	0.12696310127231936	2.297009099035428
OTU-10006	Dolosigranulum pigrum	549030	300	35.666666666666664	2668	0.12148698613919094	2.1979355401658953
OTU-12099	Lachnospiraceae sp.	4809	6	33.333333333333336	23	0.11956747764608026	2.1632079033157683
OTU-05050	Prevotella pallens	409326	300	26.666666666666668	1795	0.10963144290858631	1.9834457364212863
OTU-13420	Subdoligranulum sp.	153624	163	21.47239263803681	670	0.10903244284747175	1.9726086618940049
OTU-05704	Parabacteroides distasonis	353586	283	27.56183745583039	1519	0.10739961423812029	1.943067620951715
OTU-05577	Alistipes putredinis	143196	138	18.115942028985508	593	0.10352942819631833	1.8730484384971888
OTU-15737	TM7x HGM15737	238899	198	35.35353535353536	863	0.0903101310595691	1.633885677807866
OTU-14182	Veillonella atypica	76371	94	20.21276595744681	258	0.0844561417291904	1.5279756407751786
OTU-01664	Actinomyces oris	9714	12	50.0	22	0.056619312332715666	1.0243533302673937
OTU-02442	Rothia aeria	532503	299	22.74247491638796	1001	0.04699504040352824	0.8502315581037
OTU-08937	Campylobacter concisus	84822	65	15.384615384615385	158	0.04656810733064535	0.8425075095946157
OTU-02517	Corynebacterium sp.	678519	299	21.40468227424749	1202	0.04428763232864518	0.8012492875031295
OTU-01650	Actinomyces graevenitzii	607980	300	19.666666666666668	1045	0.04297016349222014	0.7774137173678897
OTU-04682	Bacteroides caccae	4266	5	20.0	6	0.035161744022503515	0.6361442430774494
OTU-10395	Streptococcus pseudopneumoniae	9888	12	16.666666666666668	13	0.03286812297734628	0.5946481835320454
OTU-05441	Bacteroidetes oral	624663	300	15.0	772	0.030896659478790965	0.5589805797226143
OTU-11960	Agathobacter sp.	2001	3	33.333333333333336	2	0.02498750624687656	0.4520725205677826
OTU-10506	Streptococcus pneumoniae	16665	13	15.384615384615385	15	0.022502250225022502	0.4071094120864685
OTU-19162	Lautropia mirabilis	698274	297	17.50841750841751	548	0.019619805405900834	0.3549603868134578
OTU-10407	Streptococcus mitis	9450	19	15.789473684210526	7	0.018518518518518517	0.33503596802078994
OTU-10448	Streptococcus mitis	5127	5	20.0	1	0.004876145894285157	0.08821895003473114
